@relation song_type
@attribute 'danceability' numeric
@attribute 'energy' numeric
@attribute 'key' numeric
@attribute 'loudness' numeric
@attribute 'speechiness' numeric
@attribute 'acousticness' numeric
@attribute 'instrumentalness' numeric
@attribute 'liveness' numeric
@attribute 'valence' numeric
@attribute 'tempo' numeric
@attribute 'id' string

@data
0.724,0.288,7,-12.289,0.0666,0.868,0.00000143,0.114,0.603,88.998,29Aa89a54zVNnanB96NzeT
0.343,0.607,0,-5.048,0.0357,0.632,0.00808,0.0824,0.599,155.579,6d5faX65tSGFKcXsOJQRFi
0.688,0.61,1,-7.332,0.0386,0.542,0.000163,0.0983,0.66,84.01,1pZ9xYDzyq9KHTVrqBUEsn
0.52,0.215,2,-15.716,0.0473,0.741,0.0000701,0.0738,0.312,94.183,67cdMsTo8WbOfLkiVOYiCO
0.388,0.758,6,-6.822,0.044,0.107,0.000017,0.132,0.643,157.018,2qtIRW2hE6LVM23vQFB9IA
0.575,0.229,1,-14.349,0.0336,0.601,0.00012,0.113,0.314,114.925,2dzeI4sQBhKRyWSGVZwpFa
0.503,0.401,4,-7.577,0.03,0.642,0.00245,0.0961,0.383,144.996,0KkLD3H6kYylkLLVyFWX31
0.435,0.331,3,-12.854,0.034,0.337,0.0593,0.167,0.292,150.727,41cyH6sKVThj5AtcLPrkbS
0.813,0.556,4,-8.185,0.0372,0.593,0.00548,0.117,0.377,125.952,6huaXgODnR4m9rfVhGqsGf
0.67,0.42,8,-9.498,0.0383,0.226,0.0199,0.143,0.297,77.009,3i9twFD3EQ97dKaiw5jVU0
0.626,0.323,4,-9.607,0.0339,0.667,0,0.0605,0.234,130.082,3znD2JTezT8ZLkp2pmft2l
0.486,0.528,1,-11.722,0.0463,0.00387,0.000014,0.106,0.452,178.519,6suYoN4gFkanqOBn5yRnJC
0.404,0.542,10,-7.578,0.0349,0.837,0.0000721,0.137,0.183,109.166,1IFRVS4t1olI0XG9RBWdKH
